"year","biomass","pred","se","lci","uci"
1990,157295,303459,47129,64922.16,249667.84
1993,483622,409864,108643,270681.72,696562.28
1996,771413,541029,203554,372447.16,1170378.84
1999,727064,600276,388566,-34525.36,1488653.36
2001,820066,637468,232393,364575.72,1275556.28
2003,457422,691112,72015,316272.6,598571.4
2005,764901,767042,146628,477510.12,1052291.88
2007,688180,848002,114172,464402.88,911957.12
2009,649449,916292,117761,418637.44,880260.56
2011,778670,962459,135506,513078.24,1044261.76
2013,1298440,1003780,213516,879948.64,1716931.36
2015,1140410,1042060,176812,793858.48,1486961.52
2017,1570360,1049910,350210,883948.4,2256771.6
2019,1212140,1031900,164066,890570.64,1533709.36
2021,1478940,1006750,304645,881835.8,2076044.2
